Acc #,Games Attended,Seat Qty, Net Revenue , Most Common Section ,Region,Gender,Age
16611601,1,3, $223.57 , Club Rinkside ,Downtown Toronto (Central Bay St.),M,37
13045042,1,1, $34.05 , Defensive Ends ,Markham (Berczy Village / Cachet / Angus Glen),M,23
2054292,1,4, $221.90 , Blue Line ,Scarborough (Guildwood),M,49
12154381,1,3, $70.71 , Defensive Corner - Upper ,North York (Willowdale),M,24
12247676,1,3, $100.00 , Defensive Ends ,Downtown Toronto (Rosedale),M,26
4295072,1,6, $200.00 , Defensive Ends ,"Markham (Cornell, Ontario / Box Grove, Ontario)",M,57
4498146,1,2, $135.24 , Club Glass ,Downtown Toronto (Garden District),M,46
13423151,1,5, $166.67 , Defensive Ends ,West Toronto (Parkdale),M,34
13038271,1,1, $38.57 , Attacking Ends ,North York (Willowdale),M,39
14190740,1,3, $104.29 , Attacking Ends ,Central Toronto (Summerhill East),M,21
4991559,1,4, $139.05 , Attacking Ends ,North York (Downsview Central),M,38
16041686,1,2, $77.14 , Attacking Ends ,Mississauga (Malton),M,45
13842840,1,2, $77.14 , Attacking Ends ,Central Toronto (Yorkville),M,44
13526084,1,1, $32.14 , Attacking Corner - Upper ,Central Toronto (Summerhill East),M,40
14277921,1,1, $34.76 , Attacking Ends ,West Toronto (Dufferin),M,47
13174128,1,10, $347.62 , Attacking Ends ,Downtown Toronto (St. James Town),M,25
15802040,1,3, $87.86 , Defensive Ends ,Scarborough (Woburn),M,29
16949902,1,2, $30.48 , Family Zone ,West Toronto (Dufferin),M,37
2365563,1,4, $133.33 , Club Platinum ,Scarborough (Guildwood),M,42
17787837,1,1, $33.33 , Defensive Ends ,West Toronto (Parkdale),M,52
17566403,1,5, $76.19 , Family Zone ,Scarborough (Wexford),M,30
2658827,1,4, $133.33 , Defensive Ends ,Markham (Wismer Commons / Greensborough),M,32
10723817,1,3, $70.71 , Defensive Corner - Upper ,Downtown Toronto (Harbourfront),M,44
2271021,1,2, $30.48 , Family Zone ,North York (Willowdale South),M,29
10824447,1,3, $115.71 , Attacking Corner ,Downtown Toronto (Cabbagetown),M,40
2536298,1,3, $104.29 , Attacking Ends ,West Toronto (Parkdale),M,36
16121227,1,2, $58.57 , Defensive Ends ,Downtown Toronto (Church & Wellesley),M,30
4647861,1,2, $110.95 , Blue Line ,Etobicoke (Rexdale),M,32
12089295,1,5, $166.67 , Defensive Ends ,King City,M,17
7776012,1,2, $66.67 , Defensive Ends ,Bowmanville (West),M,19
9984919,1,2, $110.95 , Blue Line ,Etobicoke (Queensway),M,30
16383877,1,5, $277.38 , Blue Line ,Etobicoke (South Steeles),M,14
17818471,1,4, $133.33 , Defensive Ends ,Scarborough (Tam O'Shanter),M,29
5861857,1,4, $133.33 , Defensive Ends ,Scarborough (Golden Mile),M,16
16720215,1,7, $233.33 , Defensive Ends ,Hamilton (Crerar / Bruleville / Hill Park / Inch Park / Centremount / Balfour / Greeningdon / Jerome),M,34
13597129,1,2, $72.38 , Attacking Corner - Upper ,Richmond Hill (Southeast),M,37
16040282,1,1, $78.10 , Club Rinkside ,Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek),M,35
14431102,1,4, $94.29 , Defensive Corner - Upper ,Central Toronto (Summerhill East),M,26
10232895,1,6, $151.60 , Attacking Corner - Upper ,North York (Downsview Northeast),M,39
1710662,1,2, $110.95 , Blue Line ,York (Humewood-Cedarvale),M,38
6629396,1,3, $108.57 , Attacking Corner - Upper ,Niagara Falls (Central),M,30
8879433,1,2, $72.38 , Attacking Corner - Upper ,Downtown Toronto (Central Bay St.),M,33
8453980,1,4, $117.14 , Defensive Ends ,Downtown Toronto (Garden District),M,41
14328283,1,8, $121.90 , Family Zone ,East York (Woodbine Heights),M,34
7583416,1,2, $47.14 , Defensive Corner - Upper ,Central Toronto (Yorkville),M,37
13045968,1,19," $1,451.19 ", Premium ,Scarborough (Birch Cliff),M,28
16640460,1,2, $47.14 , Defensive Corner - Upper ,North York (Downsview Central),M,27
8810829,1,1, $23.57 , Defensive Corner - Upper ,Scarborough (Golden Mile),M,26
13369894,1,2, $53.33 , Defensive Corner - Upper ,Ajax (East),M,36
13922069,1,2, $47.14 , Defensive Corner - Upper ,Downtown Toronto (St. James Town),M,38
15644576,1,2, $47.14 , Club Platinum ,Downtown Toronto (Harbourfront),M,57
14244749,1,2, $77.14 , Attacking Corner ,Downtown Toronto (U of T),M,40
16846128,1,1, $55.48 , Blue Line ,Downtown Toronto (Church & Wellesley),M,35
1682432,1,7, $276.67 , Attacking Ends ,North York (Hillcrest Village),M,25
5709527,1,1, $39.52 , Attacking Ends ,Scarborough (Golden Mile),M,38
16160211,1,2, $30.48 , Family Zone ,North York (Downsview West),M,44
13970875,1,2, $30.48 , Family Zone ,Downtown Toronto (St. James Town),M,35
16814129,1,5, $192.86 , Attacking Ends ,Richmond Hill (Southwest),M,24
9851887,1,5, $192.86 , Attacking Ends ,North York (Fairview),M,38
6718288,1,1, $42.86 , Attacking Corner ,West Toronto (High Park),M,26
9544292,1,2, $64.29 , Attacking Corner - Upper ,Scarborough (Tam O'Shanter),M,39
6698284,1,4, $144.76 , Attacking Corner - Upper ,West Toronto (Runnymede),M,28
8089312,1,4, $144.76 , Attacking Corner - Upper ,Vaughan (Maple),M,29
13204350,1,2, $64.29 , Attacking Corner - Upper ,Downtown Toronto (Central Bay St.),M,34
7342594,1,1, $29.29 , Defensive Ends ,Central Toronto (Yorkville),M,56
13647088,1,2, $47.14 , Defensive Corner - Upper ,Downtown Toronto (Central Bay St.),M,40
17061251,1,2, $30.48 , Family Zone ,Scarborough (Tam O'Shanter),M,28
9375901,1,1, $36.19 , Attacking Corner - Upper ,Mississauga (West Cooksville / Fairview / City Centre / East Creditview),M,42
5058191,1,3, $96.43 , Attacking Corner - Upper ,East York (Woodbine Heights),M,14
8198939,1,2, $66.67 , Defensive Ends ,Brampton (Northwest),M,24
17830550,1,1, $33.33 , Defensive Ends ,Keswick,M,18
