Acc #,Games Attended,Seat Qty, Net Revenue , Most Common Section ,Region,Gender,Age
10921659,20,24," $1,597.86 ", Club Rinkside ,East Toronto (Riverdale),F,27
2693583,18,59," $1,488.21 ", Family Zone ,Etobicoke (Rexdale),F,41
13195933,18,42," $2,351.90 ", Blue Line ,Etobicoke (Rexdale),F,37
11771829,17,18, $407.38 , Family Zone ,Scarborough (STC),F,34
11895945,16,31," $2,495.24 ", Premium ,West Toronto (High Park),F,19
14679510,15,30," $1,470.00 ", Blue Line ,Downtown Toronto (Richmond/Adelaide/King),F,32
14531708,15,34," $1,115.24 ", Defensive Ends ,North York (Lawrence),F,55
1935548,13,38," $2,487.62 ", Club Gold ,Scarborough (Tam O'Shanter),F,41
13247500,12,13, $253.81 , Family Zone ,Downtown Toronto (Church & Wellesley),F,37
14571821,12,46," $1,704.05 ", Defensive Ends ,Downtown Toronto (Richmond/Adelaide/King),F,44
9795943,11,17, $808.10 , Blue Line ,York (Humewood-Cedarvale),F,45
7079184,11,32," $1,690.71 ", Blue Line ,North York (Don Mills),F,56
5269084,11,40," $1,435.71 ", Defensive Ends ,North York (Downsview Northeast),F,42
13039507,11,45," $1,376.78 ", Defensive Ends ,West Toronto (High Park),F,28
9065292,11,24, $640.00 , Defensive Corner - Upper ,Scarborough (Wexford),F,41
10112412,10,21, $802.86 , Defensive Ends ,Downtown Toronto (Christie),F,40
16386298,10,12, $235.24 , Family Zone ,North York (Lawrence),F,46
13810573,10,22, $729.29 , Attacking Corner - Upper ,Scarborough (Malvern),F,38
13321517,10,27, $866.43 , Attacking Corner - Upper ,West Toronto (Parkdale),F,44
14500975,10,14, $357.62 , Family Zone ,West Toronto (Runnymede),F,28
2708865,9,21," $1,061.67 ", Club Glass ,East York (Woodbine Heights),F,32
15552706,9,18, $535.24 , Defensive Ends ,Etobicoke (South Steeles),F,37
15911899,9,18, $603.33 , Attacking Ends ,East Toronto (Studio District),F,35
1299068,9,18, $891.43 , Blue Line ,North York (Downsview West),F,23
13533460,9,17, $655.71 , Attacking Corner ,Downtown Toronto (Chinatown),F,41
13140786,9,22," $1,248.33 ", Blue Line ,Downtown Toronto (Church & Wellesley),F,36
6713585,9,19, $528.81 , Family Zone ,Scarborough (Birch Cliff),F,21
15492721,9,20, $390.00 , Family Zone ,Central Toronto (Yorkville),F,38
12319240,9,21, $760.95 , Defensive Corner - Upper ,North York (Don Mills),F,47
13035512,9,18, $510.00 , Attacking Ends ,North York (Willowdale South),F,42
2890344,9,11, $350.48 , Family Zone ,Scarborough (Woburn),F,36
11957373,9,9, $250.48 , Defensive Ends ,Etobicoke (Eringate),F,21
2489983,8,16, $380.48 , Family Zone ,Downtown Toronto (Richmond/Adelaide/King),F,21
16300646,8,15, $424.76 , Attacking Ends ,North York (Downsview West),F,54
11689323,8,17," $1,418.10 ", Club Platinum ,North York (Downsview Northeast),F,37
14737804,8,17, $616.43 , Attacking Corner ,North York (Downsview Northeast),F,47
15800542,8,16, $379.52 , Family Zone ,West Toronto (Runnymede),F,20
7712952,8,18, $583.10 , Defensive Corner - Upper ,Scarborough (Kennedy Park),F,40
2764035,8,12, $396.11 , Defensive Ends ,York (Humewood-Cedarvale),F,24
13537520,8,18, $610.67 , Attacking Ends ,West Toronto (Dufferin),F,21
6627520,8,18, $753.81 , Attacking Corner ,North York (Willowdale South),F,32
12310776,8,8, $166.67 , Family Zone ,North York (Fairview),F,37
13971249,8,16, $620.00 , Attacking Corner ,Scarborough (Kennedy Park),F,36
13035361,8,11, $338.31 , Defensive Ends ,Scarborough (Malvern),F,47
13671094,8,10, $554.76 , Blue Line ,Etobicoke (Eringate),F,35
15795746,7,15, $662.62 , Club Glass ,West Toronto (High Park),F,27
8683786,7,21," $1,127.14 ", Blue Line ,Scarborough (Tam O'Shanter),F,36
13042147,7,13, $458.33 , Attacking Ends ,Central Toronto (Summerhill East),F,32
16380865,7,16, $826.19 , Blue Line ,Scarborough (Woburn),F,29
15823847,7,8, $300.71 , Defensive Ends ,East Toronto (Riverdale),F,16
8261326,7,12, $391.40 , Defensive Ends ,Scarborough (Wexford),F,32
15803472,7,22, $829.29 , Attacking Corner ,Scarborough (Cedarbrae),F,19
13375975,7,9, $393.33 , Attacking Corner ,Downtown Toronto (Rosedale),F,23
13755401,7,10, $254.76 , Defensive Corner - Upper ,Central Toronto (Yorkville),F,33
14416183,7,8, $181.67 , Defensive Corner - Upper ,North York (Lawrence),F,50
7923413,7,14, $284.23 , Defensive Corner - Upper ,North York (Lawrence),F,43
12762908,7,14, $288.81 , Family Zone ,Downtown Toronto (Richmond/Adelaide/King),F,30
2803956,7,14, $558.10 , Attacking Corner ,Downtown Toronto (Chinatown),F,29
11034693,7,14, $392.86 , Defensive Corner - Upper ,Downtown Toronto (Central Bay St.),F,51
16055088,7,20, $694.76 , Defensive Ends ,West Toronto (High Park),F,29
15997447,7,8, $270.71 , Family Zone ,Downtown Toronto (Cabbagetown),F,23
13250086,7,14, $247.62 , Family Zone ,Downtown Toronto (Harbourfront),F,27
16164152,7,14, $486.67 , Attacking Ends ,North York (Downsview West),F,34
14700594,7,19," $1,041.19 ", Blue Line ,Scarborough (Kennedy Park),F,37
13042193,7,14, $335.62 , Defensive Corner - Upper ,Downtown Toronto (Richmond/Adelaide/King),F,23
11650422,6,12, $410.00 , Defensive Ends ,Scarborough (Wexford),F,43
1460361,6,24, $876.67 , Defensive Ends ,Scarborough (Cedarbrae),F,52
788846,6,6, $167.14 , Family Zone ,Scarborough (Birch Cliff),F,45
13849477,6,18, $727.14 , Attacking Corner ,York (Humewood-Cedarvale),F,23
7881250,6,22, $642.38 , Defensive Ends ,Downtown Toronto (Cabbagetown),F,38
10001734,6,23, $645.71 , Defensive Ends ,Scarborough (Woburn),F,31
6369198,6,17, $607.14 , Attacking Corner ,Etobicoke (South Steeles),F,37
15964579,6,11, $350.95 , Family Zone ,York (Humewood-Cedarvale),F,15
13139699,6,7, $289.51 , Blue Line ,North York (Don Mills),F,47
14775592,6,15, $612.86 , Defensive Ends ,East Toronto (Studio District),F,31
16709392,6,12, $541.90 , Blue Line ,North York (Hillcrest Village),F,33
16712540,6,12, $403.81 , Defensive Ends ,North York (Hillcrest Village),F,27
3591081,6,16, $400.71 , Defensive Ends ,Etobicoke (Queensway),F,31
16396225,6,17, $449.76 , Defensive Corner - Upper ,West Toronto (Runnymede),F,32
14732834,6,17, $675.71 , Attacking Ends ,Downtown Toronto (Central Bay St.),F,35
14935418,6,12, $545.71 , Blue Line ,Etobicoke (Rexdale),F,40
13813614,6,24, $679.05 , Defensive Ends ,East Toronto (Studio District),F,38
13416765,6,6, $191.90 , Defensive Ends ,Downtown Toronto (CN Tower),F,48
15175195,6,10, $696.67 , Club Glass ,North York (Downsview Central),F,32
12363943,6,13, $483.57 , Defensive Ends ,East Toronto (Riverdale),F,18
13595007,6,12, $331.43 , Defensive Ends ,Etobicoke (South Steeles),F,31
11967910,6,21, $488.10 , Defensive Ends ,Scarborough (Birch Cliff),F,50
7730666,6,12, $619.52 , Blue Line ,North York (Lawrence),F,45
13309163,6,6, $179.10 , Attacking Corner - Upper ,Scarborough (Wexford),F,25
8113548,6,22, $450.71 , Family Zone ,Central Toronto (Yorkville),F,30
16951767,6,18, $800.00 , Attacking Corner ,Downtown Toronto (Christie),F,28
15804433,6,12, $450.00 , Attacking Corner ,Downtown Toronto (Rosedale),F,41
6858118,6,21," $1,370.00 ", Club Glass ,Downtown Toronto (CN Tower),F,20
7598770,6,17, $381.90 , Family Zone ,Etobicoke (Queensway),F,37
14927359,6,31," $1,932.86 ", Blue Line ,North York (Downsview Northeast),F,32
11319192,6,15, $610.95 , Club Platinum ,Scarborough (Malvern),F,45
5743970,6,18," $1,233.33 ", Club Gold ,West Toronto (Brockton),F,49
2196629,6,6, $179.29 , Defensive Ends ,East York (Woodbine Heights),F,45
16709239,6,19, $510.48 , Defensive Ends ,East Toronto (Riverdale),F,33
15748304,6,12, $274.29 , Family Zone ,Scarborough (Cedarbrae),F,50
16850703,6,12, $216.67 , Family Zone ,Downtown Toronto (U of T),F,29
16070437,6,6, $238.10 , Attacking Ends ,Scarborough (Tam O'Shanter),F,42
2925240,6,16, $543.57 , Defensive Ends ,Downtown Toronto (Church & Wellesley),F,26
9022651,6,11, $342.38 , Defensive Ends ,Downtown Toronto (Central Bay St.),F,29
15664911,5,11, $363.57 , Defensive Ends ,Downtown Toronto (Harbourfront),F,41
15773862,5,10, $214.76 , Defensive Corner - Upper ,Downtown Toronto (Chinatown),F,38
17644554,5,9, $174.29 , Family Zone ,Scarborough (Tam O'Shanter),F,44
15852787,5,5, $253.81 , Defensive Ends ,North York (Hillcrest Village),F,35
16522943,5,12, $522.86 , Attacking Corner ,North York (Downsview West),F,33
14934939,5,10, $431.90 , Blue Line ,North York (Lawrence),F,31
13695747,5,12, $519.52 , Attacking Ends ,Scarborough (Guildwood),F,45
12741953,5,17, $939.76 , Blue Line ,Downtown Toronto (U of T),F,30
16388720,5,13, $429.29 , Attacking Corner ,Downtown Toronto (Richmond/Adelaide/King),F,32
10213173,5,15, $627.86 , Defensive Corner - Upper ,North York (Willowdale South),F,41
11474934,5,8, $220.00 , Defensive Ends ,North York (Willowdale South),F,42
3524474,5,8, $293.33 , Attacking Corner ,Downtown Toronto (Christie),F,49
10030810,5,10, $191.90 , Defensive Corner - Upper ,North York (Willowdale),F,31
14960508,5,5, $199.52 , Attacking Ends ,Central Toronto (Summerhill East),F,33
12072262,5,10, $333.33 , Defensive Ends ,Scarborough (Guildwood),F,36
12652747,5,9, $478.13 , Blue Line ,West Toronto (High Park),F,38
13094896,5,11, $167.62 , Family Zone ,North York (Don Mills),F,31
4698488,5,9, $384.76 , Defensive Ends ,Etobicoke (Queensway),F,31
5915691,5,11, $304.05 , Defensive Corner - Upper ,Downtown Toronto (Cabbagetown),F,37
13685378,5,10, $398.10 , Attacking Corner ,Downtown Toronto (U of T),F,50
13560390,5,12, $409.52 , Attacking Ends ,West Toronto (Runnymede),F,40
6685923,5,11, $385.04 , Attacking Corner ,York (Humewood-Cedarvale),F,14
9191135,5,14, $687.86 , Attacking Corner ,Central Toronto (Yorkville),F,41
13076369,5,12, $447.38 , Attacking Corner ,North York (Downsview West),F,30
15920979,5,11, $408.57 , Attacking Corner ,Scarborough (Wexford),F,52
9686111,5,15, $692.14 , Attacking Corner ,Downtown Toronto (Harbourfront),F,41
11587918,5,10, $255.71 , Family Zone ,Etobicoke (Eringate),F,36
7488456,5,19, $322.86 , Family Zone ,Downtown Toronto (Rosedale),F,34
3345423,5,10, $364.76 , Attacking Corner ,Etobicoke (Queensway),F,36
2897219,5,10, $367.86 , Defensive Ends ,West Toronto (High Park),F,37
13583547,5,9, $287.14 , Defensive Ends ,Scarborough (Woburn),F,27
13311230,5,19, $505.95 , Defensive Ends ,North York (Downsview Northeast),F,37
14206077,5,10, $567.14 , Blue Line ,Downtown Toronto (CN Tower),F,51
12688681,5,15, $595.00 , Attacking Ends ,Downtown Toronto (Christie),F,36
8558732,5,11, $510.48 , Family Zone ,North York (Downsview West),F,14
8876635,5,7, $397.62 , Blue Line ,Etobicoke (Queensway),F,34
6933339,5,10, $456.19 , Blue Line ,North York (Hillcrest Village),F,21
6391422,5,12, $371.90 , Defensive Ends ,Scarborough (STC),F,22
17455455,5,10, $564.29 , Blue Line ,Scarborough (Tam O'Shanter),F,43
8451450,5,6, $153.57 , Family Zone ,Etobicoke (Rexdale),F,31
13041739,5,7, $165.95 , Defensive Ends ,Scarborough (Cedarbrae),F,36
407940,5,7, $515.71 , Club Platinum ,North York (Downsview West),F,37
14193839,5,15, $404.29 , Defensive Ends ,York (Caledonia-Fairbanks),F,41
14006856,5,11, $320.24 , Defensive Ends ,Downtown Toronto (St. James Town),F,29
5393868,5,10, $362.86 , Attacking Ends ,York (Humewood-Cedarvale),F,49
14784211,5,9, $393.81 , Attacking Corner ,Scarborough (Guildwood),F,29
14357145,5,34, $586.67 , Family Zone ,Downtown Toronto (St. James Town),F,42
3835102,5,17," $1,173.87 ", Club Platinum ,North York (Hillcrest Village),F,29
17455511,5,30, $867.86 , Defensive Ends ,Etobicoke (Rexdale),F,43
13442057,5,11, $377.38 , Defensive Ends ,North York (Willowdale),F,38
11425474,5,11, $299.76 , Defensive Ends ,Etobicoke (Eringate),F,22
16209821,5,12, $360.95 , Family Zone ,Downtown Toronto (Rosedale),F,39
904992,5,10, $330.29 , Attacking Corner ,Scarborough (Woburn),F,28
10071975,5,9, $403.57 , Attacking Corner - Upper ,York (Humewood-Cedarvale),F,22
1356928,5,10, $496.19 , Blue Line ,Downtown Toronto (Harbourfront),F,25
14093991,5,12, $496.67 , Attacking Corner ,Downtown Toronto (St. James Town),F,33
16270073,5,10, $186.67 , Family Zone ,Markham (Central),F,35
7929579,5,12, $238.10 , Family Zone ,Scarborough (Guildwood),F,21
13842794,5,11, $485.48 , Blue Line ,Downtown Toronto (Rosedale),F,20
13283900,5,6, $212.86 , Attacking Corner ,Downtown Toronto (U of T),F,41
8461907,5,9, $335.29 , Attacking Corner ,Downtown Toronto (U of T),F,28
1791983,5,14, $677.86 , Attacking Corner ,Scarborough (STC),F,33
15777588,5,7, $235.71 , Defensive Ends ,Downtown Toronto (Cabbagetown),F,36
14442223,5,10, $444.76 , Blue Line ,Central Toronto (Yorkville),F,44
3756696,5,9, $163.81 , Family Zone ,Scarborough (Wexford),F,34
13024578,5,14, $832.38 , Blue Line ,Scarborough (Golden Mile),F,36
16185159,5,10, $254.76 , Defensive Corner - Upper ,Etobicoke (Queensway),F,39
13577848,5,10, $152.38 , Family Zone ,Downtown Toronto (Central Bay St.),F,30
12155681,5,11, $294.29 , Defensive Ends ,Downtown Toronto (Richmond/Adelaide/King),F,22
13045062,5,11, $326.07 , Attacking Corner - Upper ,East Toronto (Riverdale),F,34
14305565,5,12, $353.33 , Defensive Ends ,Central Toronto (Summerhill East),F,39
8805734,5,18, $649.29 , Attacking Corner ,Scarborough (Tam O'Shanter),F,16
12991414,5,10, $208.57 , Family Zone ,Central Toronto (Summerhill East),F,42
13188955,5,7, $217.67 , Attacking Corner ,Scarborough (Guildwood),F,27
7955150,5,28, $954.29 , Attacking Corner - Upper ,Etobicoke (South Steeles),F,25
13365108,5,10, $325.71 , Defensive Ends ,North York (Don Mills),F,29
669294,5,11, $284.29 , Family Zone ,Downtown Toronto (U of T),F,49
734924,5,11, $297.62 , Defensive Corner - Upper ,Scarborough (Kennedy Park),F,23
4596353,5,9, $607.62 , Club Platinum ,Scarborough (Wexford),F,21
15980638,5,15, $439.29 , Defensive Ends ,Scarborough (Woburn),F,32
5066571,5,12, $415.48 , Defensive Ends ,Markham (Central),F,54
12351274,4,11, $450.00 , Attacking Corner ,East Toronto (Riverdale),F,36
15944048,4,8, $520.95 , Blue Line ,Scarborough (Malvern),F,27
16490126,4,10, $331.19 , Defensive Ends ,Scarborough (STC),F,37
13043553,4,16, $448.81 , Defensive Ends ,Central Toronto (Summerhill East),F,33
11931985,4,6, $114.29 , Family Zone ,West Toronto (Parkdale),F,23
6136007,4,12, $675.00 , Blue Line ,North York (Downsview West),F,42
13043024,4,7, $220.53 , Defensive Ends ,North York (Hillcrest Village),F,35
8161489,4,5, $104.76 , Family Zone ,Etobicoke (Eringate),F,36
16242025,4,8, $217.14 , Defensive Corner - Upper ,Scarborough (Tam O'Shanter),F,39
13637265,4,12, $466.19 , Defensive Ends ,West Toronto (Runnymede),F,33
13302343,4,10, $375.95 , Defensive Ends ,West Toronto (Dufferin),F,35
6917603,4,10, $410.00 , Defensive Ends ,East Toronto (Riverdale),F,49
13045210,4,13, $368.57 , Attacking Ends ,East York (Woodbine Heights),F,46
9811199,4,9, $332.86 , Attacking Corner ,Downtown Toronto (Richmond/Adelaide/King),F,35
6859841,4,7, $237.86 , Attacking Ends ,Etobicoke (Rexdale),F,14
16163524,4,8, $446.90 , Blue Line ,Downtown Toronto (CN Tower),F,36
421057,4,8, $396.19 , Attacking Ends ,York (Caledonia-Fairbanks),F,20
4487764,4,11, $504.76 , Attacking Ends ,West Toronto (Brockton),F,29
15787708,4,15, $591.43 , Attacking Corner ,North York (Hillcrest Village),F,30
10713823,4,7, $177.86 , Attacking Ends ,Etobicoke (Rexdale),F,33
8697262,4,8, $357.14 , Attacking Corner ,West Toronto (Dufferin),F,45
8967817,4,7, $170.95 , Family Zone ,North York (Downsview Central),F,26
11901050,4,4, $171.19 , Attacking Ends ,Scarborough (Birch Cliff),F,32
13541353,4,13, $469.29 , Attacking Corner - Upper ,Downtown Toronto (Chinatown),F,17
16243789,4,9, $270.71 , Defensive Ends ,Scarborough (Woburn),F,26
16191931,4,12, $273.33 , Family Zone ,Scarborough (Tam O'Shanter),F,41
10874636,4,8, $397.62 , Attacking Corner ,East Toronto (Studio District),F,48
1215094,4,8, $266.67 , Defensive Ends ,Scarborough (Kennedy Park),F,33
10130484,4,9, $224.76 , Family Zone ,Central Toronto (Yorkville),F,14
13386258,4,8, $239.52 , Defensive Ends ,Scarborough (Woburn),F,28
3229156,4,12, $293.57 , Defensive Corner - Upper ,Downtown Toronto (Chinatown),F,29
460170,4,8, $261.43 , Defensive Ends ,West Toronto (Runnymede),F,35
16311175,4,13, $342.86 , Attacking Corner ,West Toronto (High Park),F,51
5379901,4,12, $423.81 , Attacking Corner - Upper ,Downtown Toronto (Garden District),F,39
11002519,4,11, $473.33 , Attacking Ends ,East Toronto (Studio District),F,18
9960011,4,12, $479.29 , Blue Line ,North York (Fairview),F,37
8968669,4,8, $540.00 , Club Gold ,Scarborough (Tam O'Shanter),F,57
1663036,4,13, $607.62 , Defensive Ends ,North York (Willowdale),F,24
13392632,4,5, $253.91 , Blue Line ,Scarborough (Tam O'Shanter),F,38
13847472,4,8, $258.57 , Defensive Ends ,North York (Hillcrest Village),F,43
16467275,4,8, $292.86 , Defensive Ends ,Downtown Toronto (Richmond/Adelaide/King),F,23
9444461,4,11, $373.33 , Defensive Corner - Upper ,Scarborough (Cedarbrae),F,27
16320420,4,11, $465.00 , Defensive Ends ,Scarborough (Kennedy Park),F,40
12867233,4,5, $152.38 , Attacking Corner - Upper ,West Toronto (High Park),F,49
17749585,4,13, $854.29 , Blue Line ,Scarborough (Wexford),F,20
11002154,4,24," $2,027.03 ", Premium ,Scarborough (Golden Mile),F,36
6597126,4,5, $297.62 , Blue Line ,Downtown Toronto (U of T),F,29
10944132,4,9, $257.62 , Defensive Corner - Upper ,Downtown Toronto (Richmond/Adelaide/King),F,21
13891052,4,15, $381.90 , Defensive Corner - Upper ,North York (Fairview),F,31
5403505,4,14," $1,023.81 ", Club Platinum ,Scarborough (Woburn),F,25
7855627,4,8, $443.81 , Blue Line ,Scarborough (Golden Mile),F,33
10975095,4,10, $329.05 , Attacking Corner - Upper ,West Toronto (Parkdale),F,54
16884704,4,10, $267.86 , Defensive Ends ,North York (Willowdale),F,25
15994827,4,7, $366.19 , Blue Line ,North York (Fairview),F,14
16495002,4,4, $176.67 , Defensive Ends ,Downtown Toronto (Church & Wellesley),F,55
13138736,4,11, $285.48 , Defensive Corner - Upper ,Downtown Toronto (Chinatown),F,37
16748327,4,57," $6,347.09 ", Premium ,Downtown Toronto (Christie),F,40
6700206,4,4, $205.71 , Attacking Corner ,Central Toronto (Summerhill East),F,42
13037203,4,4, $139.52 , Attacking Ends ,Etobicoke (Rexdale),F,31
13302697,4,4, $139.52 , Attacking Ends ,Mississauga (Mississauga Valley / East Cooksville),F,44
11698116,4,15, $572.14 , Attacking Ends ,Etobicoke (Rexdale),F,51
12440362,4,9, $280.48 , Defensive Ends ,East Toronto (Riverdale),F,33
16601836,4,9, $265.95 , Family Zone ,Scarborough (Tam O'Shanter),F,47
17779202,4,9, $388.81 , Blue Line ,Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek),F,25
2052191,4,14, $259.05 , Family Zone ,Downtown Toronto (St. James Town),F,28
6871754,4,10, $316.67 , Attacking Corner - Upper ,Richmond Hill (Southwest),F,37
8572100,4,10, $462.38 , Blue Line ,Scarborough (Golden Mile),F,46
12976145,4,10, $458.18 , Club Glass ,Downtown Toronto (Chinatown),F,35
15853217,4,20, $438.10 , Defensive Corner - Upper ,Downtown Toronto (U of T),F,39
14181377,4,11, $226.90 , Family Zone ,Downtown Toronto (Richmond/Adelaide/King),F,63
10550205,4,9, $832.86 , Premium ,East York (Woodbine Heights),F,21
14482179,4,10, $185.71 , Family Zone ,Central Toronto (Summerhill East),F,28
13248663,4,12, $441.25 , Family Zone ,Downtown Toronto (U of T),F,34
8816025,4,10, $267.86 , Defensive Ends ,Downtown Toronto (Church & Wellesley),F,18
7834382,4,5, $301.03 , Club Platinum ,North York (Fairview),F,21
16430627,4,55," $7,055.00 ", Premium ,West Toronto (Runnymede),F,35
10907579,4,14, $541.19 , Blue Line ,Central Toronto (Summerhill East),F,39
13971753,4,10, $467.62 , Attacking Corner - Upper ,North York (Downsview West),F,19
13140084,4,10, $576.43 , Blue Line ,Scarborough (Guildwood),F,49
13445816,4,9, $446.90 , Blue Line ,Scarborough (Cedarbrae),F,31
10603727,4,9, $351.48 , Attacking Corner ,Scarborough (Woburn),F,34
13594897,4,11, $628.81 , Blue Line ,North York (Willowdale South),F,36
13081109,4,10, $502.86 , Attacking Corner ,North York (Downsview West),F,40
9541494,4,7, $496.43 , Club Platinum ,North York (Downsview Northeast),F,23
13139886,4,7, $209.42 , Defensive Ends ,West Toronto (High Park),F,45
11557334,4,4, $225.71 , Attacking Ends ,Downtown Toronto (Chinatown),F,29
14108556,4,10, $576.19 , Blue Line ,Scarborough (Golden Mile),F,30
13077253,4,8, $329.05 , Club Platinum ,Etobicoke (Queensway),F,37
13077783,4,7, $469.29 , Club Gold ,Scarborough (Golden Mile),F,25
13843884,4,16, $361.90 , Family Zone ,Scarborough (STC),F,29
16389897,4,9, $354.05 , Defensive Ends ,Central Toronto (Summerhill East),F,42
13823120,4,9, $432.62 , Attacking Corner - Upper ,West Toronto (Brockton),F,41
13139875,4,4, $106.25 , Defensive Ends ,Scarborough (Guildwood),F,30
13037459,4,20, $660.48 , Defensive Ends ,Downtown Toronto (St. James Town),F,50
13850621,4,8, $243.33 , Attacking Corner - Upper ,East Toronto (Studio District),F,38
3021925,4,15, $466.90 , Defensive Ends ,Downtown Toronto (Rosedale),F,40
15973119,4,8, $234.29 , Defensive Ends ,York (Humewood-Cedarvale),F,22
2749001,4,15, $396.19 , Attacking Corner - Upper ,North York (Downsview Central),F,33
9739662,4,13, $354.16 , Defensive Ends ,Scarborough (Tam O'Shanter),F,53
4554450,4,6, $188.10 , Family Zone ,Downtown Toronto (Richmond/Adelaide/King),F,36
3008306,4,18, $657.14 , Attacking Ends ,East York (Woodbine Heights),F,29
13460075,4,19, $667.14 , Attacking Corner ,West Toronto (High Park),F,24
12894666,4,12, $484.29 , Attacking Corner ,North York (Downsview West),F,37
13712701,4,9, $319.29 , Attacking Corner ,North York (Don Mills),F,20
16841651,4,8, $288.10 , Attacking Corner ,West Toronto (Dufferin),F,18
13712643,4,7, $187.14 , Family Zone ,North York (Fairview),F,27
13376114,4,8, $374.29 , Attacking Corner ,North York (Willowdale),F,35
14205813,4,8, $172.14 , Family Zone ,Downtown Toronto (Christie),F,51
9841447,4,12, $323.33 , Family Zone ,West Toronto (Brockton),F,30
11180605,4,13, $479.05 , Club Platinum ,Downtown Toronto (Rosedale),F,43
8463630,4,10, $321.43 , Defensive Corner - Upper ,Downtown Toronto (CN Tower),F,27
10292493,4,9, $339.52 , Attacking Ends ,East York (Woodbine Heights),F,34
13045473,4,8, $309.83 , Attacking Corner ,Scarborough (Guildwood),F,33
11916003,4,8, $222.38 , Defensive Ends ,Scarborough (Malvern),F,25
10430348,4,4, $225.89 , Blue Line ,Central Toronto (Yorkville),F,47
2940184,4,10, $342.86 , Attacking Corner - Upper ,East Toronto (Studio District),F,29
12209017,4,12, $497.14 , Attacking Corner ,Downtown Toronto (Harbourfront),F,32
14332103,4,15, $647.62 , Blue Line ,Downtown Toronto (Cabbagetown),F,28
3007828,4,8, $341.43 , Attacking Corner ,Downtown Toronto (Richmond/Adelaide/King),F,52
8270165,4,15, $497.86 , Defensive Ends ,North York (Don Mills),F,42
5485697,4,8, $288.10 , Attacking Corner ,North York (Willowdale),F,37
7236391,4,12, $370.24 , Defensive Ends ,Scarborough (Golden Mile),F,58
4573533,4,16, $507.06 , Attacking Corner ,Downtown Toronto (Richmond/Adelaide/King),F,31
8364201,4,8, $589.52 , Club Rinkside ,Downtown Toronto (Central Bay St.),F,23
13095111,4,9, $327.86 , Attacking Corner ,Central Toronto (Yorkville),F,35
3539908,4,13, $400.95 , Defensive Ends ,Downtown Toronto (Cabbagetown),F,32
10802876,4,12, $386.19 , Defensive Ends ,North York (Don Mills),F,26
16070443,4,6, $217.38 , Attacking Ends ,North York (Downsview West),F,28
2473773,4,17, $468.10 , Defensive Ends ,Downtown Toronto (U of T),F,35
11973875,4,12, $463.81 , Attacking Corner ,Scarborough (Tam O'Shanter),F,35
8942496,4,8, $316.19 , Defensive Ends ,Scarborough (Cedarbrae),F,23
16323239,4,11, $405.71 , Defensive Ends ,North York (Downsview Central),F,28
17645825,4,14," $1,072.14 ", Club Platinum ,Scarborough (Golden Mile),F,34
11065021,4,10, $282.38 , Family Zone ,Scarborough (Woburn),F,41
2075398,4,12, $355.48 , Defensive Ends ,Downtown Toronto (Richmond/Adelaide/King),F,57
3470483,4,12, $351.43 , Defensive Ends ,East Toronto (Riverdale),F,41
11445757,4,9, $291.19 , Family Zone ,North York (Willowdale South),F,47
13724427,4,11, $394.76 , Defensive Ends ,North York (Downsview Central),F,29
5830200,4,12, $421.90 , Defensive Ends ,North York (Willowdale South),F,33
12608647,4,8, $468.57 , Blue Line ,Scarborough (Cedarbrae),F,50
8824706,4,5, $192.86 , Attacking Corner ,Downtown Toronto (Richmond/Adelaide/King),F,35
14066563,4,10, $552.86 , Blue Line ,Downtown Toronto (Church & Wellesley),F,48
9002081,4,7, $204.76 , Defensive Ends ,Etobicoke (Queensway),F,21
15145814,4,9, $195.95 , Family Zone ,Scarborough (Malvern),F,42
13702508,4,10, $219.05 , Defensive Corner - Upper ,Scarborough (Wexford),F,39
11413953,4,10, $241.67 , Defensive Ends ,Downtown Toronto (U of T),F,34
8043501,4,4, $131.07 , Blue Line ,York (Caledonia-Fairbanks),F,32
7367697,4,8, $617.14 , Club Platinum ,East Toronto (Riverdale),F,44
11420976,4,12, $359.29 , Defensive Corner - Upper ,Downtown Toronto (Central Bay St.),F,29
4552866,4,17, $644.76 , Attacking Corner - Upper ,East Toronto (Riverdale),F,18
3259631,4,9, $302.38 , Defensive Ends ,West Toronto (Parkdale),F,33
13249953,4,6, $155.24 , Defensive Ends ,East Toronto (Studio District),F,34
14190102,4,8, $255.24 , Attacking Ends ,West Toronto (Parkdale),F,43
11028125,4,8, $319.52 , Defensive Ends ,Scarborough (Golden Mile),F,27
4677494,4,14, $423.33 , Attacking Ends ,North York (Fairview),F,37
8261805,4,6, $288.57 , Attacking Corner ,Downtown Toronto (Central Bay St.),F,39
8096545,4,15, $544.52 , Family Zone ,North York (Willowdale),F,19
11316131,4,12, $736.90 , Club Rinkside ,North York (Hillcrest Village),F,36
16223874,4,5, $273.33 , Blue Line ,Etobicoke (Eringate),F,28
10603435,4,9, $184.76 , Attacking Ends ,West Toronto (Runnymede),F,45
3866398,4,8, $247.62 , Defensive Ends ,Scarborough (Guildwood),F,39
13482733,4,11, $401.67 , Attacking Corner - Upper ,Etobicoke (Queensway),F,14
16926565,4,10, $194.52 , Family Zone ,Downtown Toronto (U of T),F,38
13036707,4,11, $255.71 , Family Zone ,North York (Hillcrest Village),F,29
