Event Name,Game Day,Game Day of Wk,Section,Row,Seat Qty,Acc #,Sale Date,Section Name,Promo Code,Comp,Current Block Price,Sale Day,Net Revenue,,
TML1028,2023-10-28,Sat,102,8,2,13849477,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,102,9,3,13139042,2023-10-28,Defensive Ends,,N,92.25,Sat,87.86,,
TML1028,2023-10-28,Sat,102,7,2,9251290,2023-10-24,Defensive Ends,,N,61.50,Tue,58.57,,
TML1028,2023-10-28,Sat,102,20,2,3470483,2023-10-02,Defensive Ends,,N,61.50,Mon,58.57,,
TML1028,2023-10-28,Sat,102,7,2,16046730,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,102,3,2,11985832,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,102,8,1,10112412,2023-10-28,Defensive Ends,,N,30.75,Sat,29.29,,
TML1028,2023-10-28,Sat,102,15,2,4070511,2023-10-23,Defensive Ends,,N,61.50,Mon,58.57,,
TML1028,2023-10-28,Sat,102,14,2,13036707,2023-10-22,Defensive Ends,,N,61.50,Sun,58.57,,
TML1028,2023-10-28,Sat,102,5,2,14972994,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,102,6,4,15878328,2023-10-11,Defensive Ends,,N,123.00,Wed,117.14,,
TML1028,2023-10-28,Sat,102,16,2,10229755,2023-10-25,Defensive Ends,,N,61.50,Wed,58.57,,
TML1028,2023-10-28,Sat,102,9,4,10890100,2023-10-28,Defensive Ends,,N,123.00,Sat,117.14,,
TML1028,2023-10-28,Sat,102,14,2,15794744,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,102,6,3,15805076,2023-10-28,Defensive Ends,,N,92.25,Sat,87.86,,
TML1028,2023-10-28,Sat,102,2,4,5387765,2023-09-02,Defensive Ends,,N,123.00,Sat,117.14,,
TML1028,2023-10-28,Sat,102,2,3,9244919,2023-10-22,Defensive Ends,,N,92.25,Sun,87.86,,
TML1028,2023-10-28,Sat,102,18,6,14644613,2023-09-24,Defensive Ends,,N,184.50,Sun,175.71,,
TML1028,2023-10-28,Sat,102,4,4,5979625,2023-10-06,Defensive Ends,,N,123.00,Fri,117.14,,
TML1028,2023-10-28,Sat,102,18,3,15666654,2023-10-03,Defensive Ends,,N,92.25,Tue,87.86,,
TML1028,2023-10-28,Sat,102,18,4,15666654,2023-09-17,Defensive Ends,,N,123.00,Sun,117.14,,
TML1028,2023-10-28,Sat,102,15,2,8788295,2023-10-28,Defensive Ends,,N,61.50,Sat,58.57,,
TML1028,2023-10-28,Sat,102,9,3,10232313,2023-10-28,Defensive Ends,,N,92.25,Sat,87.86,,
TML1028,2023-10-28,Sat,102,12,4,13248663,2023-10-28,Defensive Ends,,N,111.56,Sat,106.25,,
TML1028,2023-10-28,Sat,102,19,4,13370270,2023-10-24,Defensive Ends,,Y,0.00,Tue,0.00,,
TML1028,2023-10-28,Sat,102,17,8,342295,2023-10-21,Defensive Ends,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,102,3,2,13046574,2023-10-27,Defensive Ends,,N,71.50,Fri,68.10,,
TML1028,2023-10-28,Sat,103,4,4,10724011,2023-09-25,Defensive Ends,,N,123.00,Mon,117.14,,
